knowledge_id,cluster_id,question,answer,category,source_logs,similar_logs_count,conflict_status,risk_level,review_status,confidence
k-011,c-011,intra-martで飲食費ゴルフ関係費の申請方法を教えてください,intra-martで飲食費ゴルフ関係費の申請は、トップ画面上部の「Workflow」→「申請一覧」をクリックし、「フロー」タブを押した後、左メニューから「9910 NH直轄・コーポレート管轄」→「NH経理財務部」を選択・クリックしてください。詳細な入力内容についてはNH経理財務部へお問い合わせください。,質問,"[""飲食ゴルフの申請方法が分からない"", ""【Notes】飲食費・ゴルフ関係費申請DBの過去申請の閲覧方法について"", ""【intra-mart】飲食費・ゴルフ関係費申請の修正方法がわからない"", ""【intra-mart】飲食費・ゴルフ関係費申請DBの記入方法を教えてほしい""]",4,detected,low,draft,0.95
k-012,c-012,intra-martの飲食費申請で、出席者情報の会社名欄に引退した方が参加する場合、どのように記載すればよいですか？,"intra-martの飲食費申請における出席者情報の会社名欄について、引退した方が参加する場合の記載方法は、詳細は担当部門にお問い合わせください。窓口の問い合わせ先は以下のURLをご参照ください。
https://nipponham86.sharepoint.com/sites/im_counter/Lists/List/AllItems.aspx?view=7&q=%E9%A3%B2%E9%A3%9F",質問,"[""【intra-mart】飲食費申請の出席者情報について""]",1,unknown,low,draft,0.6
k-013,c-013,イントラマートの事前飲食申請で、通常申請にもかかわらず承認者に承認依頼が届かず、ステータスが「代理元承認待ち」になる場合の対処法は？,一時的なシステム障害により承認者が設定されない事象が発生していました。現在は解消済みのため、再申請を行うことで正常に申請できます。,質問,"[""飲食事前申請　承認依頼されない件""]",1,unknown,low,draft,0.95
k-014,c-014,飲食費・ゴルフ関係費申請DBで出席者情報の全行を削除する方法を教えてください,飲食費・ゴルフ関係費申請DBの出席者情報を削除するには、出席者情報の一番左に表示されている番号を右クリックし、「削除」を選択してください。明細行をすべて削除した後、ファイルを添付すれば申請が可能です。,質問,"[""飲食費・ゴルフ関係費申請DBにて、テスト環境で作成していた申請が消せない"", ""飲食費申請にて、全行削除の方法がわからない""]",2,detected,low,draft,0.95
k-015,c-015,intra-mart飲食費申請で出席者が10名を超えた場合、申請ができない時の対処方法を教えてください,intra-mart飲食費申請で出席者が10名以上の場合は、出席者情報の明細行を全て削除し、出席者情報が記載されたファイルを添付してください。出席者情報の一番左に表示されている番号を右クリックすると削除が表示されますので、全ての明細行を削除してください。その後、出席者情報の下に表示されている添付ファイル欄に、出席者情報が記載されたファイルをアップロードしてください。詳細は操作マニュアルをご参照ください。,質問,"[""【intra-mart】飲食費申請の出席者情報を入力したい"", ""飲食費申請にて申請できない"", ""【intra-mart】飲食費・ゴルフ関係費申請で人数を入力できない"", ""【メール対応】intra-martの飲食費申請で純社外の人数を編集できない""]",4,detected,low,draft,0.95
k-016,c-016,intra-martの飲食費申請で、承認者である上長自身が会食に参加する場合、結果申請を行うことはできますか？,intra-martの飲食費申請では、承認者である上長自身が結果申請を行うことはできません。結果申請を行えるのは申請者のみです。また、閲覧者として他の人を設定しても、その方が結果申請を行うことはできません。,質問,"[""【intra-mart】飲食費申請について""]",1,unknown,low,draft,0.95
k-017,c-017,intra-martで飲食費申請を行う方法を教えてください,"intra-martのトップ画面上部の「Workflow」→「申請一覧」をクリックします。「フロー」タブを押した後、左メニューから「9910 NH直轄・コーポレート管轄」→「NH経理財務部」を選択・クリックしてください。詳細な問い合わせ先はintra-mart窓口に掲載されています。

https://nipponham86.sharepoint.com/sites/im_counter/Lists/List/AllItems.aspx?view=7&q=%E9%A3%B2%E9%A3%9F",質問,"[""【intra-mart】飲食費申請の進捗状況確認方法について"", ""飲食費申請にて、操作方法を教えてほしい"", ""【intra-mart】飲食費申請について"", ""【intra-mart】飲食費申請はどこにあるのか"", ""【intra-mart】飲食費・ゴルフ関係費申請の進捗確認をしたい""]",5,detected,low,draft,0.95
k-018,c-018,intra-martで飲食費申請の承認後に「結果申請完了」メールが届かない場合はどうすればよいですか？,申請が最終承認されていない場合、メールが届かない可能性があります。申請状況は案件一覧画面で確認できます。画面上部の「Workflow」にカーソルを合わせて「案件一覧」を押下し、「処理済（未完了案件）」等を選択して対象案件を確認してください。案件が表示されたら「フロー」を選択し、承認経路を照会できます。詳細は担当部門にお問い合わせください。,トラブル,"[""【intra-mart】飲食費ゴルフ関係費の申請承認手続きに入力できない"", ""【intra-mart】飲食費申請の承認後メールが届かない"", ""【intra-mart】飲食費申請の結果申請ができない"", ""＜至急＞【メール対応】【intra-mart】【飲食費申請】回答メール再送依頼"", ""【intra-mart】飲食費申請について"", ""【intra-mart】飲食費の結果申請時に各項目の入力ができない""]",6,detected,low,draft,0.95
k-019,c-019,intra-martで飲食費申請の申請データ一覧を日々取得する方法を教えてください,intra-martでは、申請データ一覧のCSV出力が可能ですが、業務用アカウントや共有IDでの利用はJSOX統制上禁止されています。個人IDでログインし、管理者ロールで参照・CSV出力を行ってください。夜間バッチによる自動出力も可能ですが、改修が必要となります。詳細やその他の方法については、intra-martの担当者または窓口にお問い合わせください。,質問,"[""飲食費申請にて申請データ一覧を日々取得したい""]",1,unknown,critical,draft,0.95
k-020,c-020,intra-martの飲食費・ゴルフ関係費申請DBで、廃止されたユーザCDの申請データをPDF出力する方法を教えてください。,代理元承認者または承認者の方が案件一覧から処理済（完了案件）を選択し、詳細画面の印刷機能でPDF出力が可能です。,質問,"[""【intra-mart】飲食費・ゴルフ関係費申請DBについて""]",1,unknown,low,draft,0.95
k-021,c-021,intra-martの飲食費・ゴルフ関係費申請DBで、事業部長が異動して承認権限がなくなった場合、申請の差し戻しは誰が行えばよいですか？,代理設定をして代理承認する方法があります。異動や休職などで承認者が変更された場合、代理で申請・承認を行うことが可能です。代理設定の方法は、ワークフロー代理設定の操作マニュアルをご確認ください。なお、2025/3/28時点では飲食ゴルフ申請は結果申請まで進むと申請者・承認者が引戻しできない状態です。8月頃に改修予定ですが、それまでは結果申請は差戻しでしか処理を戻すことができません。,質問,"[""【intra-mart】飲食費・ゴルフ関係費申請DBについて"", ""＜至急＞【intra-mart】飲食費・ゴルフ関係申請の承認について""]",2,detected,low,draft,0.95
k-022,c-022,intra-martで飲食費申請の承認者が異動により承認できない場合はどうすればよいですか？,intra-martで飲食費申請の承認者が異動により承認できない場合、以前のアカウントでログインして承認する必要があります。ログインできない場合やパスワード再設定ができない場合は、担当部署へ連携してください。,トラブル,"[""【intra-mart】飲食費申請の承認者を変更したい"", ""【intra-mart】飲食費申請の承認経路について"", ""【intra-mart】飲食費申請の承認ができない""]",3,detected,high,draft,0.95
k-023,c-023,飲食費・ゴルフ関係費申請DBで事前申請の金額を修正する方法や、承認後に申請を取り戻すことはできますか？,申請書を修正したい場合は、引戻しや差戻しを行い、処理対象者を申請者まで戻すことで修正が可能です。結果申請から事前申請に引戻すことはできないため、再度事前申請を行う場合は結果申請を取止めし、コピー新規で再申請してください。最終承認後は訂正申請が必要です。詳細は「202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx」の「データ訂正について」シートをご確認ください。,質問,"[""飲食費・ゴルフ関係費申請DBにて、事前申請は承認されると取り戻せないか"", ""【intra-mart】承認が完了している「飲食費・ゴルフ関係費申請」を差し戻していただけるか"", ""飲食費・ゴルフ関係費申請にて、飲食結果申請承認を差し戻すことは可能か""]",3,detected,low,draft,0.95
k-024,c-024,飲食費申請の承認者が正しく設定されているかはどこで確認できますか？また、コピー新規時に承認者が反映されない場合の対処方法を教えてください。,飲食費申請をコピー新規した場合、承認者が画面上で表示されていてもintra-martの承認経路に反映されない場合があります。その場合は、差戻しや引戻しで案件を申請者に戻し、画面上で承認者を設定してください。承認者が正しく設定されているかは、案件一覧のフローから確認できます。,質問,"[""飲食費申請にて、承認者を確認したい""]",1,unknown,low,draft,0.95
k-025,c-025,intra-martで飲食費申請を最終承認後に差し戻す方法を教えてください,intra-martの飲食費申請が最終承認後の場合、差し戻しはできません。申請が「処理済み（未完了案件）」にある場合は、intra-martの窓口サイトに記載の引戻し・再申請・取止め方法をご確認ください。通常の取止め手順で対応可能な場合があります。詳細は担当部門にお問い合わせください。,質問,"[""【intra-mart】飲食費申請を差し戻したい"", ""【intra-mart】飲食費申請取止め"", ""【intra-mart】完了した飲食費申請を差し戻したい"", ""【intra-mart】飲食費申請を引戻したい"", ""【intra-mart】飲食費申請を取り止めたい"", ""【intra-mart】完了した飲食費申請を差し戻したい""]",6,detected,low,draft,0.9
k-026,c-026,飲食品申請で完了案件の未確認がたまっている場合、一括で確認する方法を教えてください,案件一覧の未確認（完了案件）で一括確認を選択し、担当組織のプルダウンを変更すると案件が表示され、一括確認が可能です。,質問,"[""飲食品申請にて、完了案件の未確認がたまっていく""]",1,unknown,low,draft,0.95
k-027,c-027,intra-martの飲食費申請で、差戻し後に申請期限を過ぎて再申請する場合の方法を教えてください,intra-martの飲食費申請で差戻し後に申請期限を過ぎて再申請する場合、申請種類の「特例承認・事後入力」が選択できない場合は、取止め後にコピー新規で申請することで対応できます。,質問,"[""【intra-mart】期日を過ぎて飲食費申請の事前申請をしたい"", ""【intra-mart】飲食費申請の引き戻しをしたい""]",2,detected,low,draft,0.95
k-028,c-028,intra-martの飲食申請で申請部署の表示を会社名1つのみにすることは可能ですか？また、グループ他社の役員の組織名称の表示方法はどうなっていますか？,intra-martの飲食申請における申請部署の表示は、会社名＋intra-mart上の所属組織となるため、会社名を1つのみにすることは現在の仕様ではできません。グループ他社の役員も同様に会社名が2つ並んで表示されます。事業部に所属している場合は会社名＋事業部で表示されます。詳細やユーザ・組織登録についてはNHSS標準化推進G（TEL：06-7525-3142、intra-mart.operator@nipponham.co.jp）へお問い合わせください。,質問,"[""intra-mart飲食申請につきまして""]",1,unknown,low,draft,0.95
k-029,c-029,飲食・ゴルフ費用申請で承認者を誤って選択し差戻し後に再申請した際、初回申請時の承認者が残っているのはなぜですか？,初回申請時の承認者の情報が保持されている可能性があります。1度差戻し後に取止めを行い、新規で正しい承認者を選択して申請してください。,質問,"[""飲食・ゴルフ利用申請について""]",1,unknown,low,draft,0.95
k-030,c-030,飲食費申請で自社と他社が費用を分担する場合、どのように申請すればよいですか？,運用面のご質問のため、NH株式会社 経理財務部にお問い合わせください。,質問,"[""飲食費申請にて、自社と他社で費用を分担する場合の申請について""]",1,unknown,low,draft,0.6
k-031,c-031,intra-martで飲食費申請をキャンセルする方法を教えてください,intra-martで飲食費申請が「結果申請作成中」の場合、申請画面上の「処理」ボタンを押下し、処理種別を「取止め」に選択することで申請をキャンセルできます。なお、支払先情報が「不明」の場合は他の選択肢を選択してから処理ボタンを押下してください。詳細な手順はintra-martの窓口に掲載されている「■ 再申請・取止め」マニュアルもご参照ください。,質問,"[""intra-martの飲食申請について"", ""飲食費申請にて間違えて申請してしまったので削除したい"", ""【intra-mart】飲食費申請の取り消し方法について"", ""【メール対応】intra-mart飲食費申請のキャンセル方法について"", ""【intra-mart】飲食費申請の取止め方法を知りたい"", ""【intra-mart】飲食費申請を取り下げたい"", ""イントラマート　飲食費申請を上げていたが中止になった。取り下げたい。""]",7,detected,low,draft,0.95
k-032,c-032,intra-martの飲食費申請で事前申請後の結果入力方法を教えてください,飲食費申請の結果入力方法については、NH_経理財務部が窓口となっています。操作マニュアル（202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx）をご確認いただき、不明点がある場合は担当部門へお問い合わせください。,質問,"[""【intra-mart】飲食事前申請について"", ""【intra-mart】飲食費申請で結果の入力方法を知りたい"", ""【intra-mart】飲食費申請の結果申請の入力画面について""]",3,detected,low,draft,0.95
k-033,c-033,飲食ゴルフ申請の結果申請後に代理入力者が引戻し操作を行うことは可能ですか？,現在の飲食費やゴルフ費申請のバージョンでは、代理入力者も結果申請後に引戻し操作が可能です。ただし、引戻しができるのは「代理元承認」ノードの場合のみであり、「上位役職者結果承認」以降のノードでは引戻しはできません。また、申請日が2025/6/18以前の場合は以前のバージョンが適用され、結果申請ノードの後の引戻し操作はできません。,質問,"[""飲食ゴルフ申請の結果申請後の引戻しについて""]",1,unknown,low,draft,0.95
k-034,c-034,intra-martの飲食費申請で、当社が全て支払いする場合は「領収書の分割有り」をチェックする必要がありますか？,当社が全て支払いする場合は「領収書の分割有り」のチェックは不要です。領収書分割は、領収書を分けて発行した場合にチェックをつける必要があります。,質問,"[""【intra-mart】飲食ゴルフ問合せ""]",1,unknown,low,draft,0.95
k-035,c-035,飲食ゴルフ費申請で代理入力の場合、承認通知メールは申請者にも届きますか？,飲食ゴルフ費申請で代理入力の場合、事前承認時は申請者にはメールは届きません。結果承認時（最終承認後）は、代理者と申請者の両方に処理結果通知メールが届きます。ただし、五次改修前の申請書が最終承認された場合は、申請者にはメールが届きません。その他のケースで通知が届かない場合は、担当部門までご連絡ください。,質問,"[""飲食ゴルフ費申請の処理結果通知依頼について""]",1,unknown,low,draft,0.95
k-036,c-036,飲食費申請を引き戻す方法を教えてください,飲食費申請が「上位役職者事前承認」ノードにある場合、申請者自身では引き戻しできません。処理者に差戻しを依頼し、差戻し後に否認処理を行うことで案件を終了できます。,質問,"[""飲食費申請にて申請を差し戻したい"", ""飲食費申請を引き戻したい""]",2,detected,low,draft,0.95
k-037,c-037,イントラマートで飲食費結果申請をPDFファイルに変換した際、途中で切れてしまう場合はどうすればよいですか？,PDF保存時に選択されている範囲にすべて入っていない可能性があります。印刷プレビュー画面の「拡大/縮小」欄で倍率の数値を「60%~75%」に調整し、すべて表示されるかご確認ください。,トラブル,"[""【メール対応】イントラマート飲食費結果申請をPDFファイルに変換した際、途中で切れる""]",1,unknown,low,draft,0.95
k-038,c-038,intra-martの飲食費申請で、事前申請後に差し戻しに気づかず結果申請を行おうとした際に「飲食予定日が申請日より前の日付で入力されていません」というエラーが表示される場合の対処法は？,飲食予定日が過ぎている場合、事前申請はできません。再申請の際は申請の種類を変更できないため、新たに申請を作成してください。未処理に残っている申請は「飲食予定日」の内容を変更の上、取止めを行ってください。,トラブル,"[""【intra-mart】飲食費申請"", ""【intra-mart】飲食費の結果申請ができない""]",2,detected,low,draft,0.95
k-039,c-039,飲食費・ゴルフ関係費申請で、事前申請後に当日人数が変更となり、支払い料金が変わった場合の結果申請の入力方法を教えてください。,飲食費・ゴルフ関係費申請において、事前申請後に当日人数が変更となり、支払い料金が変わった場合の処理方法については、運用の取り扱いとなるため、担当部門へお問い合わせください。,質問,"[""飲食費・ゴルフ関係費申請にて、結果の申請の入力について""]",1,unknown,low,draft,0.6
k-040,c-040,intra-martの飲食申請で事前申請の承認者を誤って設定し、すでに承認された場合、本来の承認者に変更する方法を教えてください。,intra-martの飲食申請で結果申請ノードまで進んだ場合、承認者の変更はできません。事前申請ノードに戻すこともできないため、申請書を新たに作成し直す必要があります。運用上の例外対応がある場合は、担当部門にご確認ください。,質問,"[""【intra-mart】飲食費申請の承認者設定について"", ""【intra-mart】飲食申請の承認者を変更したい"", ""【メール対応】【intra-mart】飲食費事前申請（20251209-00073B）について""]",3,detected,low,draft,0.95
k-041,c-041,intra-martの飲食ゴルフ関係費申請ワークフローで、代理申請者が処理できず申請者も引き戻しできない場合はどうすればよいですか？,コピー新規で再利用申請を行う際、確認画面で「申請基準日」に本日の日付が自動で入りますが、これを手動で古い日付に変更すると、古いデータで申請書が作成されてしまい処理ができなくなる場合があります。「申請基準日」は変更せず、本日の日付のままで再度申請してください。,トラブル,"[""【intra-mart】飲食ゴルフ申請の差し戻しが出来ない"", ""【intra-mart】差戻された飲食・ゴルフ申請が再申請できない"", ""【intra-mart】飲食費申請の回覧ができない""]",3,detected,low,draft,0.95
k-042,c-042,intra-martの飲食費申請で「このWebページを正しく表示するには、前に入力したデータを再送信してください。これを行うと、このページ以前に実行された操作が繰り返されます。」というエラーメッセージが表示された場合の対処法は？,申請画面でエラーメッセージが表示された後にブラウザの「戻る」ボタンを押すと、入力内容の画面に戻れない場合があります。この場合、ブラウザの「更新」ボタンをクリックすると入力画面に戻れますが、入力内容がすべて失われる可能性があります。再度申請内容を入力してください。今後は適宜一時保存を行い、画面を戻る際は申請画面内の「戻る」ボタンを使用してください。案件一覧から申請がされていないこともご確認ください。,トラブル,"[""【intra-mart】飲食費申請について""]",1,unknown,low,draft,0.95
k-043,c-043,intra-martの飲食費事前申請で、代理元申請者が承認してしまいフードパッカーの方へ承認が届いた場合、どのように対応すればよいですか？,代理元申請者は申請の引戻しができません。再申請が必要な場合は、フードパッカーの方に差戻しを依頼してください。新規申請を行った場合は、旧申請の承認や差戻しがあれば案件を取止めてください。,質問,"[""【intra-mart】飲食費申請を代理で行った際の挙動について"", ""【intra-mart】飲食費事前申請（20251209-00073B）について""]",2,detected,low,draft,0.95
k-044,c-044,intra-martの飲食費申請の計算ロジックを変更する場合、どのような対応が必要ですか？,飲食費申請の計算ロジックはシステムで組まれており、計算処理のパターンは資料にまとめられています。2027年10月以降の計算ロジック変更については、既存の申請書の改修で対応可能です。変更内容が確定次第、早めに改修依頼を行ってください。,要望,"[""【intra-mart】飲食費申請の計算ロジックについて""]",1,unknown,low,draft,0.95
k-045,c-045,intra-martの飲食費申請で申請金額を修正する方法を教えてください,intra-martの飲食費申請で申請書の金額を修正したい場合は、申請を引戻しまたは差戻しして申請者まで戻すことで修正が可能です。結果申請から事前申請に引戻すことはできないため、再度事前申請を行う場合は結果申請を取止めし、コピー新規で再申請してください。最終承認後で変更できない場合は訂正申請が必要です。詳細は「202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx」の「データ訂正について」シートをご確認ください。入力内容に関するお問い合わせはNH_経理財務部までお願いします。,質問,"[""【intra-mart】飲食費申請の結果申請を修正したい"", ""飲食費申請について承認されたものを訂正したい"", ""【intra-mart】飲食費申請を代理申請せず通常申請してしまった"", ""【intra-mart】結果申請まで進んでいる飲食費申請を修正したい"", ""【intra-mart】飲食費申請の金額修正"", ""【intra-mart】飲食費申請が結果申請完了になっている"", ""【intra-mart】飲食費申請の訂正用申請後の対応が分からない"", ""【intra-mart】飲食申請で金額の更新ができない"", ""【intra-mart】承認された飲食費申請の予定日を修正したい"", ""【intra-mart】飲食費申請の金額を変更したい"", ""【intra-mart】引き戻しした飲食申請の修正について""]",11,detected,low,draft,0.95
k-046,c-046,intra-martのユーザ以外でも飲食費・ゴルフ関係費申請DBを利用できますか？,intra-martの飲食費申請・ゴルフ関係費申請はNHGのどのユーザでも利用できるため、ユーザ申請の際に特別な設定や申請は不要です。,質問,"[""飲食費・ゴルフ関係費申請DBを使用したい""]",1,unknown,low,draft,0.95
k-047,c-047,イントラマートで所属変更を申請すると、飲食・ゴルフ申請の承認経路も変更されますか？,飲食・ゴルフ申請は申請書画面上で承認者を設定する仕様のため、イントラマートで所属組織を変更してもシステム側で承認者が自動的に変更されることはありません。,質問,"[""飲食ゴルフ申請の承認経路について""]",1,unknown,low,draft,0.95
k-048,c-048,飲食費申請で承認者に届いたメールのショートカットから申請が開けない場合はどうすればよいですか？,アカウントが複数存在する場合、普段利用していないアカウントで処理されている可能性があります。HENNGE Oneからログインしている場合は、別のアカウント（例：0767から始まるアカウント）でご確認ください。パスワードを忘れた場合は、「パスワードを忘れた方はコチラ」のリンクから再設定してください。,質問,"[""飲食費申請にてショートカットが開けない""]",1,unknown,high,draft,0.95
k-049,c-049,intra-martで役員の飲食費申請を代理申請する方法と、所属が変更された場合でも代理申請が可能か教えてください。,アカウント（ユーザコード）が変更されていなければ、intra-martで代理申請を行っても問題ありません。所属変更については、intra-mart管理部署（加工事業本部/管理統括室）へご連絡ください。,質問,"[""【intra-mart】飲食費申請ついて"", ""【intra-mart】飲食費申請を代理申請したい""]",2,detected,low,draft,0.95
k-050,c-050,intra-martの飲食ゴルフ関係費申請フローで申請者が退職した場合、申請を継続する方法を教えてください,退職者のアカウントが有効であれば、代理設定により別の方が申請・承認を行うことが可能です。フロー画面で名前をクリックし、処理対象者状況確認で名前が表示されていればアカウントは有効です。アカウントが無効の場合は、一時的にアカウントを復活させて代理設定を行うことも可能です。詳細な手順やアカウントの登録については、intra-martの窓口に掲載されているマニュアルや申請者へご連絡ください。,質問,"[""【intra-mart】飲食費申請の結果申請者を変更したい"", ""【intra-mart】飲食費申請の申請者が退職の場合""]",2,detected,low,draft,0.95
k-051,c-051,イントラマートの飲食・ゴルフ申請の承認依頼メール内のURLをクリックすると「ショートカット情報が存在していません」というエラーが表示される場合の対処法は？,承認依頼メール内のURLをクリックして「ショートカット情報が存在していません」と表示される場合、既に承認や差し戻しなどの処理が完了している可能性があります。また、出向者の場合はアカウントが複数存在するため、正しいアカウントでログインしているかご確認ください。イントラマート案件一覧の未処理ボタンや右側のすべてのボタンから対象案件が存在していないかも併せてご確認ください。ログインIDは会社コード(4桁)＋従業員番号です。詳細はよくあるお問合せのリンクをご参照ください。,トラブル,"[""＜至急＞【メール対応】イントラマートの飲食承認について"", ""【intra-mart】飲食費申請の結果を入力できない"", ""【intra-mart】飲食・ゴルフ申請が最終承認まで来ていない""]",3,detected,low,draft,0.95
k-052,c-052,intra-martの飲食・ゴルフ申請の稟議が未承認欄に表示されない場合はどうすればよいですか？,複数のログインID（例：「0950」や「0212」から始まるアカウント）が存在する場合、正しいアカウントでログインしてください。不要なアカウントで申請された案件は、承認後にアカウントを廃止するか、再申請してください。,質問,"[""【intra-mart】イントラマートの飲食承認について""]",1,unknown,low,draft,0.95
k-053,c-053,イントラマートの飲食費申請ワークフローで、管理本部長へメールが送信されないようにする方法を教えてください。,管理本部長へメールが送信されるのは、マスタに閲覧者として登録されていることが原因です。マスタの管理部門（NH経理財務部）へお問い合わせいただき、閲覧者設定の変更をご依頼ください。,質問,"[""【intra-mart】イントラマートの飲食承認について""]",1,unknown,low,draft,0.95
k-054,c-054,intra-martの「飲食ゴルフ関係費申請」ワークフローで、「過去申請から承認者を検索」ボタンの表示情報をリフレッシュする方法はありますか？また、事業本部マスタで「海外事業本部」を「スポーツ・エンタテイメント事業本部」に名称変更した場合、過去申請データの名称も変更されますか？,「過去申請から承認者を検索」ボタン押下時の情報をリフレッシュする方法は現状ありません。改修により申請日を表示し、新しい順で並べ替えることは可能です。事業本部マスタの名称変更については、過去申請書の名称も変更される仕様です。既存の事業本部名を変更するのではなく、新たにコードを追加する運用をお願いします。,質問,"[""【intra-mart】飲食費申請について""]",1,unknown,low,draft,0.95
