質問,回答,カテゴリ,キーワード,リンク名,立場,信頼度,件名,概要,対応結果
"スマホのアプリが今週頭くらいから突然起動しなくなりました。
暫くの時間待って「インターネット接続ありません」など表示されます。
 
因みにスマホ以外で領収書を保存する方法としてはＰＤＦスキャンするしかありませんか？
 
お忙しいところ恐縮ですがご教示頂けます様お願い致します。","【回答内容】
詳細をご教示いただきありがとうございます。
お問い合わせいただきましたメッセージは、楽楽精算の古いURLが設定されている影響で表示されます。
※先週の金曜日まで古いURLからリダイレクトがかかり接続が可能でしたが、封鎖（接続不可）となりました。
 
改善のため、以下の手順をお試しいただけますでしょうか。
 
【手順】
ホーム画面で楽楽精算のアイコンを長押しし、「削除」または「アンインストール」をタップください。ホーム画面にあるplayストアをタップし、上部にある検索ボタンにて「楽楽精算」を検索してください。「楽楽精算」を選択し、インストールをタップしてください。インストール完了後、ホーム画面にお戻しください。下記QRコードをスマートフォンのカメラ・QRコードリーダーを起動させ読み取りください。

 
こちらのQRコードを読み取っていただき「ブラウザを開く」をタップします。

 
楽楽精算アプリが自動起動しますので、「確定」→「URL変更」→「確定」→「シングルサインオン」をタップしてください。

 
その後、証明書ログイン操作・ユーザー情報の入力をお願いいたします。シングルサインオン完了の表示が出ましたら設定完了です。

 
 
もし不可の場合は、
一度上記「URL変更」画面でURLを直接手入力して、ログイン可能かご確認頂けますでしょうか。
・URL： https://rsfresco.rakurakuseisan.jp/iPm5P5ikWZa/
 
以上となります。
 
上手く手順が進まない、別のエラーが表示された、
ご不明な点等ございましたら、下記問合せ先までご連絡ください。",ログイン/PW,精算;領収書;スマホ,,その他,0.3,【スマートフォン】楽々精算　質問,"スマホのアプリが今週頭くらいから突然起動しなくなりました。
暫くの時間待って「インターネット接続ありません」など表示されます。
 
因みにスマホ以外で領収書を保存する方法としては&#xff30;&#xff24;&#xff26;スキャンするしかありませんか&#xff1f;
 
お忙しいところ恐縮ですがご教示頂けます様お願い致します。","【回答内容】
詳細をご教示いただきありがとうございます。
お問い合わせいただきましたメッセージは、楽楽精算の古いURLが設定されている影響で表示されます。
※先週の金曜日まで古いURLからリダイレクトがかかり接続が可能でしたが、封鎖&#xff08;接続不可&#xff09;となりました。
 
改善のため、以下の手順をお試しいただけますでしょうか。
 
【手順】
ホーム画面で楽楽精算のアイコンを長押しし、「削除」または「アンインストール」をタップください。ホーム画面にあるplayストアをタップし、上部にある検索ボタンにて「楽楽精算」を検索してください。「楽楽精算」を選択し、インストールをタップしてください。インストール完了後、ホーム画面にお戻しください。下記QRコードをスマートフォンのカメラ・QRコードリーダーを起動させ読み取りください。

 
こちらのQRコードを読み取っていただき「ブラウザを開く」をタップします。

 
楽楽精算アプリが自動起動しますので、「確定」→「URL変更」→「確定」→「シングルサインオン」をタップしてください。

 
その後、証明書ログイン操作・ユーザー情報の入力をお願いいたします。シングルサインオン完了の表示が出ましたら設定完了です。

 
 
もし不可の場合は、
一度上記「URL変更」画面でURLを直接手入力して、ログイン可能かご確認頂けますでしょうか。
・URL&#xff1a; https://rsfresco.rakurakuseisan.jp/iPm5P5ikWZa/
 
以上となります。
 
上手く手順が進まない、別のエラーが表示された、
ご不明な点等ございましたら、下記問合せ先までご連絡ください。"
スマートフォンアプリでICカードリーダーの設定時にQRコードを読み取って登録作業を行うと「URLが間違っています」と表示されログインできない場合の対処法は？,「URL変更」を押して接続先一覧のURLと同じになっているか確認し、異なる場合は正しいURLを手入力してください。,インストール/セットアップ,ICカードリーダー;スマートフォンアプリ;QRコード;URLが間違っています;ログインできない;設定;登録作業;URL変更,,ユーザー,0.95,ICカードリーダーの設定について,スマートフォンアプリでICカードリーダーの設定をしているがQRコードを読み取って登録作業実施したがURLが間違っていますと表示されログインできない,"「URL変更」を押していただき接続先一覧のURLと同じになっているか確認していただく
→違うURLになっていると仰せ
手入力で正しいURLをご入力いただくようご案内
やってみますとのことで終話"
スマートフォンの異動後、中日本フードのQRコードを使って初期設定を行う際に「エラーコード00009」が表示される場合の対処法は？,一度アプリをアンインストールし、メールで受け取ったQRコードを読み取って設定を進めてください。もし「エラーコード00009」が表示された場合は、一度ログアウトを選択し、接続先一覧から最新のQRコードを読み取って再度設定を行ってください。,ログイン/PW,スマートフォン;異動;初期設定;中日本フード;QRコード;エラーコード00009;ログアウト;アプリ,,申請者,0.95,【スマートフォン】異動後の初期設定について,この度5/31にて日本物流センターより中日本フードへ異動をした。パソコンは中日本フードの環境に変更できているのだが、携帯の変更ができなくて困っています。サポートしていただきたいです。中日本フードのQRコードは、メールで受け取っています。,"念のため、一度アプリをアンインストールしていただき、
メールのQRコードを読み取って進めていただきましたがエラーコード00009が表示された為、
一度ログアウトを選択していただく。
接続先一覧より最新のQRコードを読み取っていただき、無事設定完了。"
"スマートフォンにて楽々精算を入れようと試みていますが、
以下のようなエラーが出てしまっております。
改善方法ありましたら、ご教授頂ければ幸いです。
 
シングルサインでエラーが発生しました。
システム管理者へお問い合わせください。
【エラーコード】
　00014
【エラーメッセージ】
　　SAML　Response内のNameIDと一致する社員コードを持つ
　　ユーザーが見つかりません。",本エラー（【エラーコード】00014）は、楽楽精算システム上でID登録がない場合やログインしようしている接続先URLが正しい会社ではない場合に発生します。飯塚様は、日本キャリアコンサルティン様に現在登録されておりますので、後者の「ログインしようしている接続先URLが正しい会社ではない」に該当する可能性が高いです。今一度、以下の手順を実施いただき、ログイン確認をお願いできますでしょうか。◆事前準備■パソコンでお使いの社用携帯の機種に沿った下記マニュアルをご覧ください。・ 【楽楽精算】Android初回設定マニュアル.pdf・ 【楽楽精算】iPhone初回設定マニュアル .pdf◆手順①事前準備のマニュアルを開き、P10の「接続先一覧」をクリックし、楽楽精算の接続先一覧のページを表示させます。②ご自身がログインしたい会社のQRコードをクリックし、携帯のカメラで読み取ります。③P11の手順を行い、読み取ったURLの設定変更を行います。④※ここからはパソコンでのログイン操作と同じになります。　 「証明書ログイン」をタップ。証明書の「HENNGEデータ」をタップし「選択」をタップ⑤ユーザー名（メールアドレス）・パスワード（PCログインパスワード）を入力し、「ログイン」をタップしてください。⑥シングルサインオン完了画面が出ましたら「続行」をタップしてください。⑦「管理者からのお知らせ」の画面が出ましたら「閉じる」をタップしていただけましたら　　普段お使いいただく「領収書の読み取り」等の画面が表示されるかと存じます。,ログイン/PW,精算,,その他,0.3,【お問い合わせ】＜エラーコード：00014＞スマートフォンの楽々精算について,"スマートフォンにて楽々精算を入れようと試みていますが、
以下のようなエラーが出てしまっております。
改善方法ありましたら、ご教授頂ければ幸いです。
 
シングルサインでエラーが発生しました。
システム管理者へお問い合わせください。
【エラーコード】
　00014
【エラーメッセージ】
　　SAML　Response内のNameIDと一致する社員コードを持つ
　　ユーザーが見つかりません。",本エラー&#xff08;【エラーコード】00014&#xff09;は、楽楽精算システム上でID登録がない場合やログインしようしている接続先URLが正しい会社ではない場合に発生します。飯塚様は、日本キャリアコンサルティン様に現在登録されておりますので、後者の「ログインしようしている接続先URLが正しい会社ではない」に該当する可能性が高いです。今一度、以下の手順を実施いただき、ログイン確認をお願いできますでしょうか。◆事前準備■パソコンでお使いの社用携帯の機種に沿った下記マニュアルをご覧ください。・ 【楽楽精算】Android初回設定マニュアル.pdf・ 【楽楽精算】iPhone初回設定マニュアル .pdf◆手順①事前準備のマニュアルを開き、P10の「接続先一覧」をクリックし、楽楽精算の接続先一覧のページを表示させます。②ご自身がログインしたい会社のQRコードをクリックし、携帯のカメラで読み取ります。③P11の手順を行い、読み取ったURLの設定変更を行います。④※ここからはパソコンでのログイン操作と同じになります。　 「証明書ログイン」をタップ。証明書の「HENNGEデータ」をタップし「選択」をタップ⑤ユーザー名&#xff08;メールアドレス&#xff09;・パスワード&#xff08;PCログインパスワード&#xff09;を入力し、「ログイン」をタップしてください。⑥シングルサインオン完了画面が出ましたら「続行」をタップしてください。⑦「管理者からのお知らせ」の画面が出ましたら「閉じる」をタップしていただけましたら　　普段お使いいただく「領収書の読み取り」等の画面が表示されるかと存じます。
"スマートフォンでの楽々清算について、
ログインIDとパスワードを入力すると、添付スクリーンショット
163924のような通信失敗となります。
 
原因として考えられることを教えていただけないでしょうか。","【回答内容】
詳細な画像を共有いただきありがとうございます。
お困りの画面・状況は、古い楽楽精算URLにアクセスされているために発生している事象となりますので、
お手数をおかけしますが、以下を実施いただけますでしょうか。
 
【手順】
❶ホーム画面で楽楽精算アプリを長押しし、アンインストールを選択します。
（※現在設定されている古い楽楽精算URLを綺麗に消す為、一度アンインストールを行います）
❷Playストアから、楽楽精算アプリを検索し、インストールください。
　 Playストアの画面で、ボタンが「アンインストール」と「開く」になったらそのまま画面を閉じてください。

❸カメラアプリ等で、以下のQRコードを読み取ります。
　
 
❹ブラウザで開くをタップします。

 
❺下線の部分に、日本ハムマーケティング様の楽楽精算URLが表示されていましたら、
　　下の「確定」をタップし、次に「シングルサインオン」をタップします。
　　＊日本ハムマーケティング様の楽楽精算URL： 
　　　　https://rsgraphic.rakurakuseisan.jp/iPm5P5ikPZa/

❻日本ハムのロゴマークの画面で青い証明書ログインボタンをタップします。

 
❼証明書の選択で「選択」をタップします。
❽日本ハムのロゴマークの画面で、メールアドレスとパスワードを入力します。

 
❾シングルサインオン完了画面が表示されましたら、「続行」ボタンをタップします。
　 管理者からのお知らせ画面で下部の「閉じる」をタップします。
　　下図の一番右の画面が表示されましたら初期設定完了です。
",ログイン/PW,ログイン;パスワード,,その他,0.3,【スマートフォン】楽々清算につきまして（スマートフォン）,"スマートフォンでの楽々清算について、
ログインIDとパスワードを入力すると、添付スクリーンショット
163924のような通信失敗となります。
 
原因として考えられることを教えていただけないでしょうか。","【回答内容】
詳細な画像を共有いただきありがとうございます。
お困りの画面・状況は、古い楽楽精算URLにアクセスされているために発生している事象となりますので、
お手数をおかけしますが、以下を実施いただけますでしょうか。
 
【手順】
❶ホーム画面で楽楽精算アプリを長押しし、アンインストールを選択します。
&#xff08;※現在設定されている古い楽楽精算URLを綺麗に消す為、一度アンインストールを行います&#xff09;
❷Playストアから、楽楽精算アプリを検索し、インストールください。
　 Playストアの画面で、ボタンが「アンインストール」と「開く」になったらそのまま画面を閉じてください。

❸カメラアプリ等で、以下のQRコードを読み取ります。
　
 
❹ブラウザで開くをタップします。

 
❺下線の部分に、日本ハムマーケティング様の楽楽精算URLが表示されていましたら、
　　下の「確定」をタップし、次に「シングルサインオン」をタップします。
　　&#xff0a;日本ハムマーケティング様の楽楽精算URL&#xff1a; 
　　　　https://rsgraphic.rakurakuseisan.jp/iPm5P5ikPZa/

❻日本ハムのロゴマークの画面で青い証明書ログインボタンをタップします。

 
❼証明書の選択で「選択」をタップします。
❽日本ハムのロゴマークの画面で、メールアドレスとパスワードを入力します。

 
❾シングルサインオン完了画面が表示されましたら、「続行」ボタンをタップします。
　 管理者からのお知らせ画面で下部の「閉じる」をタップします。
　　下図の一番右の画面が表示されましたら初期設定完了です。
"
"<PC>
証明書ログイン後、以下画面が表示され、「ログイン画面に戻る。」をクリックすると、ログイン可能。
以下表示をなくすためには何が必要でしょうか？

 
<スマホ>
日本ハムのQRコード読み取りし、シングルサインオンを実施後、
以下画面になり、ログイン不可。
原因と対策を教えていただけますでしょうか？
","（藤岡さんフォロー）
14:34　メール返信------------------------------------------------------------【回答内容】<PC>以下URLよりログインをお試しいただけますでしょうか。https://rsfresco.rakurakuseisan.jp/iPm5P5ikWZa/（また、お気に入り等に登録されている際はそちらのURLもご変更ください）<スマホ>共同_楽楽精算サポート - 楽楽精算の接続先一覧より、QRコードを読み取っていただき、ログインをお試しいただけますでしょうか。・楽楽精算アプリが自動的に起動しますので【確定】をタップします。・【URL変更】をタップし、何も変更せず【確定】をタップします。・【シングルサインオン】をタップします。上記手順で上手くいかない場合は、アプリを起動し【URL変更】をタップし、接続先一覧に記載のURLに変更をお願いいたします。
------------------------------------------------------------
14:47　メール受信
------------------------------------------------------------
ご連絡ありがとうございます。
PCスマホともに解決いたしました。
誠にありがとうございます。
------------------------------------------------------------",ログイン/PW,ログイン;スマホ,,その他,0.3,【PCとスマホのログインに際して】,"&lt;PC&gt;
証明書ログイン後、以下画面が表示され、「ログイン画面に戻る。」をクリックすると、ログイン可能。
以下表示をなくすためには何が必要でしょうか&#xff1f;

 
&lt;スマホ&gt;
日本ハムのQRコード読み取りし、シングルサインオンを実施後、
以下画面になり、ログイン不可。
原因と対策を教えていただけますでしょうか&#xff1f;
","&#xff08;藤岡さんフォロー&#xff09;
14:34　メール返信------------------------------------------------------------【回答内容】&lt;PC&gt;以下URLよりログインをお試しいただけますでしょうか。https://rsfresco.rakurakuseisan.jp/iPm5P5ikWZa/&#xff08;また、お気に入り等に登録されている際はそちらのURLもご変更ください&#xff09;&lt;スマホ&gt;共同_楽楽精算サポート - 楽楽精算の接続先一覧より、QRコードを読み取っていただき、ログインをお試しいただけますでしょうか。・楽楽精算アプリが自動的に起動しますので【確定】をタップします。・【URL変更】をタップし、何も変更せず【確定】をタップします。・【シングルサインオン】をタップします。上記手順で上手くいかない場合は、アプリを起動し【URL変更】をタップし、接続先一覧に記載のURLに変更をお願いいたします。
------------------------------------------------------------
14:47　メール受信
------------------------------------------------------------
ご連絡ありがとうございます。
PCスマホともに解決いたしました。
誠にありがとうございます。
------------------------------------------------------------"
領収書の画像がうまく取り込めない,メールにて送付したPDFファイルで問題なく取り込みができたため完了,システム操作,領収書,,その他,0.3,領収書の画像が取り込めない,領収書の画像がうまく取り込めない,メールにて送付したPDFファイルで問題なく取り込みができたため完了
領収書登録画面が崩れてしまう右の↓がうまく表示されないのでなおしてほしい,"（藤岡さん確認）
画面の倍率を変更していただくようご案内
→全体表示される
しばらく放置すると戻ると仰せ
 
こちらは設定等ではないためご自身で倍率を調整いただくようご案内
 
今後解消できるように検討してほしいと仰せ
→楽楽精算の仕様によるもののためサポートデスクではどうにもできない旨お伝え
ご納得いただき終話",システム操作,領収書,,その他,0.3,領収書登録画面が崩れてしまう,領収書登録画面が崩れてしまう右の↓がうまく表示されないのでなおしてほしい,"&#xff08;藤岡さん確認&#xff09;
画面の倍率を変更していただくようご案内
→全体表示される
しばらく放置すると戻ると仰せ
 
こちらは設定等ではないためご自身で倍率を調整いただくようご案内
 
今後解消できるように検討してほしいと仰せ
→楽楽精算の仕様によるもののためサポートデスクではどうにもできない旨お伝え
ご納得いただき終話"
ホーム画面で領収書読み取りボタンが表示されない場合の改善方法はありますか？,ブラウザ版で出張申請は可能ですが、領収書読み取りボタンが表示されない場合は、後日改めてご連絡いただくようご案内しています。詳細は担当部門にお問い合わせください。,ログイン/PW,ホーム画面;領収書読み取りボタン;表示されない;ブラウザ版;出張申請;改善方法;ログイン;エラーコード00009,,申請者,0.6,【お問い合わせ】＜新URL＞エラーコード：00009　【QA-007168の続き】,パソコンのようなホーム画面になり今回領収書読み取りボタンが表示されなくなりました。改善する方法はありますか。,"9:10にて伊藤様へ架電。やはりメールは届いていなかったもよう。再度、口頭でのご案内も提案しましたが、❶ブラウザ版だが、出張申請できたこと❷現在、出張中ということもあり、後日、改めてご連絡しますと仰せ。
再度お手すきの際にご連絡くださいとお伝えして終話。改めて連絡をいただく予定ですが、未定ですので本インシデントは解決処理します。
■補足「メールボックスの容量がいっぱい」についても合わせてヒアリング実施。C000025806にて不要メールを削除していただく話となったが、削除操作もできなかったよう&#xff08;権限がないため&#xff1f;&#xff09;。一度社内で権限や操作を確認しますと仰せになり終話。⇒増田さんにお伝え済み。
 
※冨山さん・藤岡さんに相談。"
"パソコン版のような画面になってしまい
領収書読み取りボタンがなく困っています。
どうすれば解消できますか。",新URLについて説明。お手元のパソコンで楽楽精算サポートを開きマニュアルをご覧いただきましたら一度手順を見ながらやってみますと仰せ。不明点・躓く点などございましたらご連絡くださいとお伝えして終話。,ログイン/PW,精算;領収書;スマホ,,その他,0.3,【お問い合わせ】＜新URL＞スマホの楽楽精算がパソコンの画面になっている,"パソコン版のような画面になってしまい
領収書読み取りボタンがなく困っています。
どうすれば解消できますか。",新URLについて説明。お手元のパソコンで楽楽精算サポートを開きマニュアルをご覧いただきましたら一度手順を見ながらやってみますと仰せ。不明点・躓く点などございましたらご連絡くださいとお伝えして終話。
"現在、領収書登録をしようとパソコンで楽楽精算を開いています。
ホーム画面の右上にある「領収書/請求書」ボタンを押しているのですが、反応しません。
なにか原因はわかりますでしょうか。",一度画面を拝見しようとリモート接続の承諾を得ようとした際、２画面で表示しているため、見れますか？と質問がありました。その際、こちらで表示させる画面の切り替え可能ですとお伝えしたタイミングで「２画面を解除したら問題なく「領収書/請求書」ボタンを押せた」と仰せ。そのまま「新規登録」ボタンをクリック可能かをヒアリングし、問題ないことを確認できたため、終話。,システム操作,精算;領収書,,その他,0.3,【お問い合わせ】【領収書/請求書】領収書登録の操作について,"現在、領収書登録をしようとパソコンで楽楽精算を開いています。
ホーム画面の右上にある「領収書/請求書」ボタンを押しているのですが、反応しません。
なにか原因はわかりますでしょうか。",一度画面を拝見しようとリモート接続の承諾を得ようとした際、&#xff12;画面で表示しているため、見れますか&#xff1f;と質問がありました。その際、こちらで表示させる画面の切り替え可能ですとお伝えしたタイミングで「&#xff12;画面を解除したら問題なく「領収書/請求書」ボタンを押せた」と仰せ。そのまま「新規登録」ボタンをクリック可能かをヒアリングし、問題ないことを確認できたため、終話。
