質問,回答,カテゴリ,キーワード,リンク名,立場,信頼度,件名,概要,対応結果
スマートフォンでNotesの飲食費・ゴルフ関係費申請DBを承認する方法を教えてください。,対象のスマートフォンから http://notes05.in.nipponham.co.jp/data16/golfoodb.nsf にアクセスし、NotesのID・パスワードでログインすると閲覧が可能です。申請方法や操作方法の詳細については、経理担当または日本ハムの経理財務部へお問い合わせください。,質問,Notes;スマートフォン;飲食費申請;ゴルフ関係費申請;承認;ログイン;経理;DB,http://notes05.in.nipponham.co.jp/data16/golfoodb.nsf,申請者,0.9,【Notes】スマホでの飲食費・ゴルフ関係費申請DBについて,"スマートフォンで、飲食費・ゴルフ関係費申請DBの承認はどうやってやりますか。

スマートフォンで、飲食費・ゴルフ関係費申請DBで決済している人がいるらしく、
それを見た上司からどうやってやるのか確認しておいてほしいと言われたとのこと。

そもそもスマホでNotesは開けるのでしょうか？","【対応内容(一次)】
確認し折り返し。終話。

平田さんに確認
----------------------------------------------------------
14:59　メール送信

表題の件につきまして、下記リンクに対象のスマートフォンからアクセスいただき、NotesのID・パスワードでログインいただくとスマートフォンでの閲覧が可能なようです。

こちらをクリック ⇒http://notes05.in.nipponham.co.jp/data16/golfoodb.nsf

ログイン後の申請方法や操作方法につきましては、サポートデスクでは分かりかねるため、
恐れ入りますが経理担当の方もしくは、日本ハムの経理財務部へお問い合わせいただけますでしょうか。
----------------------------------------------------------
14:59　架電

メール確認いただくようお伝えし終話。

【対応内容(二次)】
nan"
intra-martの飲食費・ゴルフ関係費申請DBで、参加人数の変更や理由などを申請書のどこに記入すればよいですか？,飲食費申請の「おしらせ」ボタンを押下すると、マニュアルが表示されます。詳細な記入方法については、intra-martの窓口に掲載されているNH経理財務部までお問い合わせください。,質問,intra-mart;飲食費申請;ゴルフ関係費申請DB;申請書;記入方法;参加人数変更;おしらせボタン;NH経理財務部,intra-martの窓口 - 問い合わせ先一覧 (sharepoint.com),申請者,0.95,【intra-mart】飲食費・ゴルフ関係費申請DBの記入方法を教えてほしい,"飲食費・ゴルフ関係費申請DBの記入方法を教えてほしい。
先週広島大学との懇親会が決まり、その飲食費の申請をあげた。
ただその後、自身の家族が急遽入院することになり、実際には行けなかった。
懇親会は5人の予定が4人になったりしたので、その理由など含めて申請書のどこかに書きたいがどこに書けばよいか分からない。飲食費は食肉側が負担してくれることになっている。","【対応内容(一次)】
担当部署より折り返しご連絡する旨をお伝え

PJ名：飲食費・ゴルフ関係費申請DB
申請者：河口.友美様

※左記の携帯へご連絡希望

【対応内容(二次)】
飲食費申請の入力内容についての質問でしたので、以下ご案内しました。

①intra-martの各システムのお問合せ先はintra-martの窓口に掲載しております。
intra-martの窓口 - 問い合わせ先一覧 (sharepoint.com)
?飲食費申請はお問合せ先はNH経理財務部となります。

②飲食費申請の「おしらせ」ボタンを押下すると、マニュアルが表示されます。"
飲食費・ゴルフ関係費申請DBで申請する方法を教えてください,イントラマートのトップ画面上部の「Workflow」から「申請一覧」をクリックし、「フロー」タブを押した後、左メニューの「9910 NH直轄・コーポレート管轄」→「NH経理財務部」を選択してください。詳細な申請方法は「202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx」をご確認ください。お問い合わせはNH経理財務部までお願いします。,質問,飲食費;ゴルフ関係費;申請DB;イントラマート;Workflow;申請方法;NH経理財務部;操作マニュアル,202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx,申請者,0.95,飲食費・ゴルフ関係費申請DBにて、申請方法を知りたい,"申請方法を知りたいとのこと。

フロー名：飲食費・ゴルフ関係費申請DB","【対応内容(一次)】
2025/01/08 10:01 板﨑対応

担当者へエスカレーション。
※お電話での対応をご希望されております。
--------------------------------------

【対応内容(二次)】
電話で申請書の開き方をご説明しました。

①イントラマート　トップ画面上部の「Workflow」　→　「申請一覧」　をクリックします。
②「フロー」のタブを押した後、左メニューの中から、「9910 NH直轄・コーポレート管轄」→「NH経理財務部」　を選択・クリックします。

また、マニュアルとお問合せ先をメールでお送りしました。

・飲食費の申請方法につきましては、以下マニュアルをご確認ください。
 　202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx

・飲食費申請のお問合せ先はNH_経理財務部となります。
・intra-martの窓口 - 問い合わせ先一覧 (sharepoint.com)"
飲食費・ゴルフ関係費申請DBで一度行った申請を再利用する方法を教えてください。,飲食費・ゴルフ関係費申請DBでは、「コピー新規」ボタンを使用することで申請を再利用できます。,質問,飲食費;ゴルフ関係費;申請DB;再利用;コピー新規;申請方法;操作方法;案件一覧,,申請者,0.95,飲食費・ゴルフ関係費申請DBにて、申請を再利用する方法を教えてほしい,"一度行った申請を再利用する方法を教えてほしい。

フロー名：飲食費・ゴルフ関係費申請DB","【対応内容(一次)】
2025/01/06 17:11 板﨑対応

担当者へエスカレーション。
--------------------------------------

【対応内容(二次)】
飲食費申請は「コピー新規」ボタンで再利用申請が可能であることをお伝えしました。
メールで案件一覧の確認方法をお送りしています。"
飲食費・ゴルフ関係費申請DBでテスト環境で作成した申請が削除できない場合の対応方法を教えてください。,本番環境で先行稼働していた申請書の場合、差戻し後にボタンが表示されず案件を終了できないことがあります。事前申請の場合は、取止めの手順で案件を終了させることが可能です。詳細な手順は担当部門にお問い合わせください。,質問,飲食費・ゴルフ関係費申請DB;テスト環境;申請削除;本番環境;差戻し;取止め;事前申請;案件終了,,申請者,0.9,飲食費・ゴルフ関係費申請DBにて、テスト環境で作成していた申請が消せない,"飲食費・ゴルフ関係費申請DBにて、テスト環境で作成していた申請を消したいが
消せないため対応方法をおしえてほしい。

対象のユーザ：清水 淳一
フロー名：飲食費・ゴルフ関係費申請DB","【対応内容(一次)】
2025/01/10 09:04 板﨑対応

担当者へエスカレーション。
--------------------------------------

【対応内容(二次)】
テスト環境ではなく、本番環境で先行稼働していた申請書でした。
差戻し後、ボタンが出てこないため案件を終了させることができないとのことでした。
結果申請ではなく、事前申請とのことでしたので、取止めで案件を終了させることができそうでしたので
取止めの手順をメールでお送りしました。"
飲食費・ゴルフ関係費申請DBでユーザーの所属を変更する方法を教えてください,飲食費・ゴルフ関係費申請DBのユーザー所属の変更については、日本ハム㈱経理財務部へお問い合わせください。,質問,飲食費申請DB;ゴルフ関係費申請DB;ユーザー所属変更;ノーツDB;操作方法;経理財務部;問い合わせ;申請DB,,申請者,0.65,【メール対応】お問い合わせ）ノーツDB　『飲食費・ゴルフ関係費申請Db」,"11:51 メール着
ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー
表題の件、以下の図に有ります、ユーザーの所属を変更（修正）したい場面です。
お手続き方法をご存知でしょうか？
お忙しいところ恐縮ですが引き続きよろしくお願い致します。

飲食費・ゴルフ関係費　申請DB","【対応内容(一次)】
12:05 日本ハム㈱経理財務部 へ問い合わせて頂くよう返信

【対応内容(二次)】
nan"
飲食費・ゴルフ関係費申請DBで事前申請の金額を修正する方法を教えてください。また、事前申請が承認された後に申請を取り戻すことはできますか？,申請書を修正したい場合は、引戻しや差戻しを行い処理対象者を申請者まで戻すことで申請の修正が可能です。結果申請から事前申請に引戻しすることはできないため、再度事前申請を行う場合は結果申請を取止めし、コピー新規で再申請してください。最終承認までされて変更不可の場合は訂正申請が必要です。詳細は操作マニュアルの「データ訂正について」シートをご確認ください。,質問,飲食費申請;ゴルフ関係費申請;事前申請;金額修正;引戻し;差戻し;取止め;訂正申請;操作マニュアル,202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx;引戻し・再申請・取止め 方法 (sharepoint.com);承認・否認・差戻し 方法 (sharepoint.com),申請者,0.95,飲食費・ゴルフ関係費申請DBにて、事前申請は承認されると取り戻せないか,"事前申請は金額修正の取り戻しの仕方を教えてほしい。
また事前申請承認されると取り戻せないのか教えてほしい。

飲食費・ゴルフ関係費申請DB","【対応内容(一次)】
2025/04/14 11:37 板﨑対応

担当者へエスカレーション。

【対応内容(二次)】
お電話したのですが不在でしたので、メールで回答させていただきます。
申請書を修正したい場合は引戻し、差戻しを行い処理対象者を申請者まで戻していただければ
申請を修正することが可能です。

◆参考
引戻し・再申請・取止め 方法 (sharepoint.com)
承認・否認・差戻し 方法 (sharepoint.com)

結果申請から事前申請に引戻しすることはできないため、もう一度事前申請される場合は
結果申請を取止めしていただき、コピー新規で再度申請をお願いいたします。
また、最終承認までされてしまい変更不可ということでしたら訂正申請が必要となります。

詳細につきましては、以下マニュアルの「データ訂正について」シートをご確認ください。
 202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx

また、飲食費申請の入力内容についてのお問合せ先はNH_経理財務部となります。
intra-martの窓口 - 問い合わせ先一覧 (sharepoint.com)"
飲食・ゴルフ費用申請で、差戻し後に正しい承認者で再申請したのに、初回申請時の承認者が残っているのはなぜですか？,初回申請時の承認者の情報が保持されている可能性があります。差戻し後は一度申請を取止めてから、新規で正しい承認者を選択して申請してください。,質問,飲食費用申請;ゴルフ費用申請;承認者;申請フロー;差戻し;再申請;申請状況;承認者情報,,申請者,0.95,飲食・ゴルフ利用申請について,"飲食・ゴルフ費用申請にて
承認者を選択する画面にて申請フローに関係ないユーザーを含めて申請した（3名）
差戻しを行い正しい承認者で再申請をし申請状況を確認したところ
初回に申請した承認者が3名の状態になっていた。なぜか？","【対応内容(一次)】
初回申請時の承認者の情報を保持している可能性がある為、
1度　差戻し→取止めをしていただき新規で承認者2名で申請していただくようご案内

【対応内容(二次)】
nan"
飲食ゴルフ申請で代理入力者が結果申請後に引戻し操作はできますか？,現在の飲食費やゴルフ費申請のバージョンでは、代理入力者も結果申請後に引戻し操作が可能です。ただし、引戻しができるのは現在が「代理元承認」ノードの場合のみです。また、申請日が2025/6/18以前の場合は以前のバージョンが適用され、結果申請ノードの後に引戻しはできません。,質問,飲食ゴルフ申請;代理入力者;結果申請;引戻し;申請フロー;ノード;バージョン;申請日,,申請者,0.95,飲食ゴルフ申請の結果申請後の引戻しについて,"代理入力者A、申請者B、承認者Cのフローにて
代理入力者Aが「結果申請」をしたら、代理入力者Aは「引戻し」操作できる　と思っていたのですが、「できない」という声がありました。
引戻しができるのは、あくまで代理ではない「通常の申請時」だけでしたでしょうか？","【対応内容(一次)】
代理入力者が結果申請を行った後の「引戻し」につきまして、現在の飲食費やゴルフ費申請のバージョンであれば代理入力者Aも引戻しができる仕様となっております。
「引戻しができない」というお声が上がっている理由として、下記の2つが考えられます。
 
①現在のノードが「上位役職者結果承認」以降となっている場合
　⇒引戻しが可能なのは現在が「代理元承認」ノードの場合のみとなっております。
 
②申請日が2025/6/18以前となっている場合
　⇒6/18以前は以前のバージョンが適用されます。
　　以前のバージョンでは結果申請ノードを申請した後に引戻し操作ができない仕様であったため、申請日が6/18以前の場合は結果申請ノードの後の引戻しはできません。
 
⇒①に当てはまっていたため、相手方納得しクローズ

【対応内容(二次)】
nan"
intra-martで飲食費申請の承認後に「結果申請完了」メールが届かない場合はどうすればよいですか？,最終承認が完了していない場合、メールが届かないことがあります。申請状況は、画面上部の「Workflow」から「案件一覧」を選択し、「処理済（未完了案件）」等で対象案件を確認してください。案件が表示されたら「フロー」を選択し、承認経路や処理状況を確認できます。,トラブル,intra-mart;飲食費申請;承認;メール通知;結果申請完了;申請状況;案件一覧;ワークフロー,案件一覧 (sharepoint.com),申請者,0.95,【intra-mart】飲食費申請の承認後メールが届かない,"intra-martで申請を承認後、メールが届くはずだが届かないものがある。
二件申請しており、一件(3/6分)は「結果申請完了」が届いている。
もう一件(3/7分)も承認が完了しているはずだが届かないため現在の状況を伺いたい。","【対応内容(一次)】
申請者は町田様か→ ×
承認者が町田様か→ ×

3/6分のメールがあるとのことで、遠隔接続させていただくことに。

SKYSEA接続 SNZ1238414H
メールをログに添付。同様の申請で飲食日が3/7分の「結果申請完了」が届いていないとのこと。

フロー名：飲食費申請(?)
申請者：山本 陽一 様
承認者：西田 至 様
申請日：3/5(?)
飲食日：2025/03/07

担当部署より折り返しご連絡する旨お伝えし終話。

※ご担当者様、お手数をおかけしますがご確認いただけますでしょうか。

【対応内容(二次)】
2025/03/12 11:00 板﨑対応

担当者へエスカレーション。
--------------------------------------

お電話したのですが、不在でしたのでメールで以下のように回答しました。
結果申請完了メールが届かないとのことですが、最終承認されていないためメールが届いていない可能性があります。
以下の手順で申請状況を確認することが可能ですので、ご確認のほどよろしくお願いいたします。

■案件確認手順
案件一覧 (sharepoint.com)

①画面上部の「Workflow」にカーソルを合わせて、「案件一覧」を押下ください。
②「案件一覧」が表示されますので、「処理済（未完了案件）」等を選択して対象案件がないか確認してください。
③案件が表示されたら、カーソルを合わせて、「フロー」を選択してください。
④別ウィンドウで、案件の承認経路を照会する画面が表示されます。
この画面で対象の案件がどこまで処理されていて、どなたが処理中か確認頂けます。"
intra-martの飲食申請で会社検索がうまくできない場合はどうすればよいですか？,会社検索時に登録されている会社名と検索した文字が微妙に異なる場合、会社コードで検索することで解決できます。,質問,intra-mart;飲食申請;会社検索;会社コード;検索方法;システム;会社名;トラブルシューティング,,申請者,0.95,【intra-mart】飲食申請について,intra-martの飲食申請で会社検索が上手くできない,"【対応内容(一次)】
フロー名：飲食申請

担当へ連携する旨お伝え

【対応内容(二次)】
2024/12/11 15:44 今津対応

アプリ担当者へエスカレーション実施。
--------------------------------------

2024/12/11 17:15 蛭子本

会社検索で検索した際、登録されている文字と微妙にことなっていたため出てきませんでした。
会社コードで検索して解決したとのことでした。

検索時「システム」
登録されている会社名「日本ﾊﾑｼｽﾃﾑｿﾘｭｰｼｮﾝｽﾞ」"
intra-martの飲食事前申請の申請結果はどこで確認できますか？,intra-martの窓口に掲載されている「案件一覧」の説明ページでご確認いただけます。詳細は以下のページをご参照ください。また、intra-martの窓口にお問合せ先も掲載されています。,質問,intra-mart;飲食事前申請;申請結果;案件一覧;確認方法;説明ページ;窓口;問い合わせ先,https://nipponham86.sharepoint.com/sites/im_counter/SitePages/matters.aspx,申請者,0.95,【intra-mart】飲食事前申請について,intra-martの飲食事前申請で結果申請ができているか等分からない。分かる人に繋いでほしい。,"【対応内容(一次)】
担当へ連携する旨お伝え

【対応内容(二次)】
2024/12/13 16:20 板﨑対応

アプリ担当者へエスカレーション。
--------------------------------------

intra-martの窓口に掲載している「案件一覧」の説明ページをご案内しました。

https://nipponham86.sharepoint.com/sites/im_counter/SitePages/matters.aspx

また、intra-martの窓口にお問合せ先を掲載していることをお伝えしました。"
