質問,回答,カテゴリ,キーワード,リンク名,立場,信頼度,件名,概要,対応結果
intra-martの飲食費・ゴルフ関係費申請DBで、事業部長の異動により承認権限がなくなった場合、申請の差し戻しは誰が行えばよいですか？,代理設定をして代理承認する方法があります。異動や休職などで承認者が変更された場合、代理で申請・承認が可能です。代理設定の方法は、ワークフロー代理設定の操作マニュアルをご確認ください。なお、飲食ゴルフ申請は結果申請まで進むと申請者・承認者が引戻しできない状態ですが、8月頃に改修予定です。それまでは結果申請は差戻しでしか処理を戻すことができません。,質問,intra-mart;飲食費申請;ゴルフ関係費申請;事業部長;承認権限;代理設定;差し戻し;ワークフロー,ワークフロー代理設定 (sharepoint.com),申請者,0.95,【intra-mart】飲食費・ゴルフ関係費申請DBについて,"佐久営業部で飲食費申請をあげたのですが、結果申請の際には移動に伴い事業部長が変わっており、
当時の事業部長が承認権限を持っておらず処理を進めることができないです。
そのため改めて事後申請で上げていただく想定ですが、元の申請を差し戻したく存じます。
差し戻しをするにはどの方が行えば宜しいでしょうか。","【対応内容(一次)】
代理設定をして代理承認する方法があります。
今回のように異動された方や休職された方がいた場合、代理で申請・承認をすることが可能になります。
代理設定の方法につきましては、以下サイトに操作マニュアルを掲載しておりますのでご確認ください。
 
ワークフロー代理設定 (sharepoint.com)


【補足】
2025/3/28時点では、飲食ゴルフ申請は結果申請まで進むと申請者・承認者が引戻しをできない状態です。
こちらは8月頃に改修予定のため、それまで結果申請は差戻しでしか処理を戻すことができません。

【対応内容(二次)】
nan"
intra-martの飲食ゴルフ申請で、結果申請から取止め（差し戻し）ができない場合はどうすればよいですか？,intra-martの飲食ゴルフ申請では、現在、結果申請から取止め（差し戻し）は行えない状態です。今後、改修により対応予定ですが、現時点では取止めが必要な場合は担当部門へご連絡ください。,トラブル,intra-mart;飲食ゴルフ申請;結果申請;取止め;差し戻し;操作方法;トラブル;システム改修,,申請者,0.95,【intra-mart】飲食ゴルフ申請の差し戻しが出来ない,intra-martの飲食ゴルフ申請の操作について聞きたい。,"【対応内容(一次)】
簡単に内容をお伺い。
飲食ゴルフの事前申請をして承認が下りた。
結果として、申請が未実施となり、差し戻しを上司に依頼したが、出来ないと回答があった。
マニュアル通りにやっているつもりだが、なぜ出来ないのかわからない。

担当者へ連携させていただくが、回答が明日になる可能性ありとお伝え ⇒ ご了承いただける。

※ご担当者様、恐れ入りますがご対応いただけますでしょうか。

【対応内容(二次)】
2024年11月7日　篠崎記載
一次担当者の問合せ記載内容から飲食費・ゴルフ関係費申請DB担当へエスカレーションする。
ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー

2024/11/8 蛭子本記載
intra-martの飲食ゴルフ申請で結果申請から取止めを行いたいとのことですが、
申し訳ございません、現在、結果申請では取止めが行えない状態となっております。
（11月14日には結果申請から取止めができるように改修を行う予定です）
そのため、今回はこちらで案件を強制削除させていただこうと思います。

案件番号　0000180106　
管理NO　20241101-00003B

ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー

2024/11/20 蛭子本記載
案件削除をアプリ開発Gへ依頼しました。

ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー

2024/11/26 蛭子本記載
案件削除完了したため、山本様にご連絡しました。"
intra-martでゴルフ関係の代理申請内容を誤って送信した場合、修正する方法を教えてください,代理元承認者の「Workflow＞案件一覧＞未処理」にある対象申請の処理ボタンをクリックし、承認ボタンを押した後の画面で差戻しができるかご確認ください。詳細は担当部門にお問い合わせください。,質問,intra-mart;ゴルフ申請;代理申請;申請修正;Workflow;案件一覧;差戻し;承認,,申請者,0.65,【intra-mart】ゴルフ関係の代理申請の内容を修正したい,"ゴルフ関係の申請を代理申請しているが、誤って記載したため修正したい。
誤った内容で結果申請を送信してしまった。","【対応内容(一次)】
リモート接続実施
SN12101917H

ノードを確認。
申請⇒代理元申請⇒上位役職者事前承認 ⇒結果申請（森様にて実施済み）
次の代理元承認（金森 典之様）が処理中の状態。

案件番号：0000312303
案件名　：a_19_飲食・ゴルフ申請_ゴルフ費申請

「Workflow＞案件一覧＞未処理」に対象の申請は無い。
「Workflow＞案件一覧＞処理済（未完了案件）」に対象の申請があるが、
引戻しボタンがない。

平田さんに確認

10:26　森様へ連絡
処理中となっている金森様の「Workflow＞案件一覧＞未処理」にある対象の申請の
処理ボタンをクリックし、承認ボタンを押した後の画面で差戻しができるか
ご確認いただくよう案内。

離席中のため戻られたら確認いただけるとのこと。

【対応内容(二次)】
nan"
intra-martの飲食費・ゴルフ関係費申請DBで、参加人数の変更や理由などを申請書のどこに記入すればよいですか？,飲食費申請の入力方法については、intra-martの「おしらせ」ボタンを押下すると表示されるマニュアルをご参照ください。詳細はNH経理財務部までお問い合わせください。,質問,intra-mart;飲食費申請;ゴルフ関係費申請DB;申請書;参加人数;記入方法;おしらせボタン;NH経理財務部,intra-martの窓口 - 問い合わせ先一覧 (sharepoint.com),申請者,0.95,【intra-mart】飲食費・ゴルフ関係費申請DBの記入方法を教えてほしい,"飲食費・ゴルフ関係費申請DBの記入方法を教えてほしい。
先週広島大学との懇親会が決まり、その飲食費の申請をあげた。
ただその後、自身の家族が急遽入院することになり、実際には行けなかった。
懇親会は5人の予定が4人になったりしたので、その理由など含めて申請書のどこかに書きたいがどこに書けばよいか分からない。飲食費は食肉側が負担してくれることになっている。","【対応内容(一次)】
担当部署より折り返しご連絡する旨をお伝え

PJ名：飲食費・ゴルフ関係費申請DB
申請者：河口.友美様

※左記の携帯へご連絡希望

【対応内容(二次)】
飲食費申請の入力内容についての質問でしたので、以下ご案内しました。

①intra-martの各システムのお問合せ先はintra-martの窓口に掲載しております。
intra-martの窓口 - 問い合わせ先一覧 (sharepoint.com)
?飲食費申請はお問合せ先はNH経理財務部となります。

②飲食費申請の「おしらせ」ボタンを押下すると、マニュアルが表示されます。"
intra-martの飲食費・ゴルフ関係費申請で『自社』の項目に「1名以上入力してください」というエラーが表示される場合の対処法は？,現状、飲食費・ゴルフ関係費申請で『自社』を0人で申請する方法はありません。申請方法についてはNH経理財務部にお問い合わせください。なお、今後の改修で自社0人を許容する対応が予定されています。,トラブル,intra-mart;飲食費申請;ゴルフ関係費申請;エラー;自社;1名以上入力してください;NH;申請方法,,申請者,0.95,【intra-mart】飲食費・ゴルフ関係費申請にて「1名以上入力してください」のエラーとなる,"飲食費・ゴルフ関係費申請にて、国内食肉第二事業部のグループ会社であるホワイトファームで入力する際に、
自社（NH）のユーザーがおらず『自社』の項目で「1名以上入力してください」のエラーとなる。","【対応内容(一次)】
申請者は梅原様か→ × ホワイトファームの田中社長とのこと

フロー名：飲食費・ゴルフ関係費申請
申請者：田中.雄一郎 様 /日本ホワイトファーム_管理本部/tanaka
困りごと：飲食費・ゴルフ関係費申請にて、自社（NH）のユーザーがおらず、
　　　　  『自社』の項目で「1名以上入力してください」のエラーとなる。

担当部署へ連携させていただく旨お伝え。ご連絡は梅原様宛てを希望される。

※ご担当者様、お手数をおかけしますがご確認いただけますでしょうか。

【対応内容(二次)】
2025/04/16 10:55 板﨑対応

担当者へエスカレーション。
--------------------------------------

自己解決されていました。

【予定していた回答】
現状、自社を0人で申請する方法はありません。
申請方法につきましてはオーナーのNH経理財務部_山中様へご連絡ください。
※補足ですが、五次改修の要望で、結果申請以降、自社0人を許容するという対応があります。"
intra-martのゴルフ関係費申請で「ゴルフ付随費用」が0円となる場合はどうすればよいですか？,「ゴルフ付随費用」の項目が0円となる場合、訂正用申請をあげて再申請してください。入力内容が反映されない場合は、担当部署へお問い合わせください。,トラブル,intra-mart;ゴルフ関係費申請;ゴルフ付随費用;0円;申請;再申請;旅費・宿泊費;楽楽精算,,申請者,0.95,【intra-mart】ゴルフ関係費申請の「ゴルフ付随費用」が0円となる,ゴルフ関係費申請の「ゴルフ付随費用」が0円となる。,"【対応内容(一次)】
SKYSEA接続 SNY5210305J

フローを確認
NH経理財務部 ＞ 飲食費・ゴルフ関係費申請 ＞ ゴルフ関係費申請

対象の申請：20260407-00004B
「ゴルフ付随費用」の項目が「旅費・宿泊費」のみとなっており、金額が0円となっているとのこと。
（※ユーザー画面を添付）

ゴルフバッグの送料などを、それに該当する項目で金額を入力したはずとのこと。

既に承認が完了しており、このままでは楽楽精算で利用できず、
事業管理課からは再申請するよう話があったとのこと。

管理No「20260428-00002B」にて再度申請を上げようと思っているが、既に同事象が発生している。
何か入力が必要な項目を見落としているかとご相談あり。

詳しい部署へ連携するため回答をお待ちいただくようお伝え。

※ご担当者様、お手数をおかけしますがご確認いただけますでしょうか。

【対応内容(二次)】
訂正用申請をあげていただくようにお伝えしました。

※結果申請で「ゴルフ付随費用」の項目を入力したが反映されていない件について、
不具合か検証環境で確認してみましたが、再現しませんでした。"
飲食費・ゴルフ関係費申請DBでテスト環境で作成した申請が削除できない場合の対応方法を教えてください。,本番環境で先行稼働していた申請書の場合、差戻し後にボタンが表示されず案件を終了できないことがあります。事前申請の場合は、取止めの手順で案件を終了させることが可能です。詳細な手順は担当部門にお問い合わせください。,質問,飲食費・ゴルフ関係費申請DB;テスト環境;申請削除;本番環境;差戻し;取止め;事前申請;案件終了,,申請者,0.9,飲食費・ゴルフ関係費申請DBにて、テスト環境で作成していた申請が消せない,"飲食費・ゴルフ関係費申請DBにて、テスト環境で作成していた申請を消したいが
消せないため対応方法をおしえてほしい。

対象のユーザ：清水 淳一
フロー名：飲食費・ゴルフ関係費申請DB","【対応内容(一次)】
2025/01/10 09:04 板﨑対応

担当者へエスカレーション。
--------------------------------------

【対応内容(二次)】
テスト環境ではなく、本番環境で先行稼働していた申請書でした。
差戻し後、ボタンが出てこないため案件を終了させることができないとのことでした。
結果申請ではなく、事前申請とのことでしたので、取止めで案件を終了させることができそうでしたので
取止めの手順をメールでお送りしました。"
飲食費・ゴルフ関係費申請DBで申請入力後に「SOAの実行失敗」が表示され、一時保存できない場合の対処法は？,飲食費・ゴルフ関係費申請DBで申請入力後に「SOAの実行失敗」が表示される場合、別タブや別ウィンドウでintra-martを開いているとエラーになることがあります。入力しているタブ以外でintra-martを開かないようにしてください。,質問,飲食費;ゴルフ関係費;申請DB;SOAの実行失敗;エラー;一時保存;intra-mart;別タブ,,申請者,0.95,飲食費・ゴルフ関係費申請DBにて、申請入力後SOAの実行失敗が表示される,"飲食費・ゴルフ関係費申請DBにて、申請入力後SOAの実行失敗が表示される。
一時保存しようとしたがエラーにより保存できないとのこと。
上記対処方法を知りたいとのこと。

フロー名：飲食費・ゴルフ関係費申請DB","【対応内容(一次)】
2025/01/10 10:36 板﨑対応

担当者へエスカレーション。
--------------------------------------

【対応内容(二次)】
一時保存の際に申請入力後SOAの実行失敗が表示されるとのことですが、
別タブ・別ウィンドウでintra-martを開いているとエラーになる場合があります。

■参考
intra-martの窓口（よくあるご質問）
入力しているタブとは別タブ・別ウィンドウでintra-martを開くとログイン画面が表示され、ログインし申請すると「SOAの実行に失敗しました」のエラーが表示される"
飲食費・ゴルフ関係費申請DBで事前申請の金額を修正する方法を教えてください。また、事前申請が承認された後に申請を取り戻すことはできますか？,申請書を修正したい場合は、引戻しや差戻しを行い処理対象者を申請者まで戻すことで申請の修正が可能です。結果申請から事前申請に引戻しすることはできないため、再度事前申請を行う場合は結果申請を取止めし、コピー新規で再申請してください。最終承認までされて変更不可の場合は訂正申請が必要です。詳細は操作マニュアルの「データ訂正について」シートをご確認ください。,質問,飲食費申請;ゴルフ関係費申請;事前申請;金額修正;引戻し;差戻し;取止め;訂正申請;操作マニュアル,202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx;引戻し・再申請・取止め 方法 (sharepoint.com);承認・否認・差戻し 方法 (sharepoint.com);intra-martの窓口 - 問い合わせ先一覧 (sharepoint.com),申請者,0.95,飲食費・ゴルフ関係費申請DBにて、事前申請は承認されると取り戻せないか,"事前申請は金額修正の取り戻しの仕方を教えてほしい。
また事前申請承認されると取り戻せないのか教えてほしい。

飲食費・ゴルフ関係費申請DB","【対応内容(一次)】
2025/04/14 11:37 板﨑対応

担当者へエスカレーション。

【対応内容(二次)】
お電話したのですが不在でしたので、メールで回答させていただきます。
申請書を修正したい場合は引戻し、差戻しを行い処理対象者を申請者まで戻していただければ
申請を修正することが可能です。

◆参考
引戻し・再申請・取止め 方法 (sharepoint.com)
承認・否認・差戻し 方法 (sharepoint.com)

結果申請から事前申請に引戻しすることはできないため、もう一度事前申請される場合は
結果申請を取止めしていただき、コピー新規で再度申請をお願いいたします。
また、最終承認までされてしまい変更不可ということでしたら訂正申請が必要となります。

詳細につきましては、以下マニュアルの「データ訂正について」シートをご確認ください。
 202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx

また、飲食費申請の入力内容についてのお問合せ先はNH_経理財務部となります。
intra-martの窓口 - 問い合わせ先一覧 (sharepoint.com)"
飲食費・ゴルフ関係費申請DBで申請する方法を教えてください,イントラマートのトップ画面上部の「Workflow」から「申請一覧」をクリックし、「フロー」タブを押した後、左メニューの「9910 NH直轄・コーポレート管轄」→「NH経理財務部」を選択してください。詳細な申請方法は「202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx」をご確認ください。お問い合わせはNH経理財務部までお願いします。,質問,飲食費;ゴルフ関係費;申請DB;イントラマート;Workflow;申請方法;NH経理財務部;操作マニュアル,202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx,申請者,0.95,飲食費・ゴルフ関係費申請DBにて、申請方法を知りたい,"申請方法を知りたいとのこと。

フロー名：飲食費・ゴルフ関係費申請DB","【対応内容(一次)】
2025/01/08 10:01 板﨑対応

担当者へエスカレーション。
※お電話での対応をご希望されております。
--------------------------------------

【対応内容(二次)】
電話で申請書の開き方をご説明しました。

①イントラマート　トップ画面上部の「Workflow」　→　「申請一覧」　をクリックします。
②「フロー」のタブを押した後、左メニューの中から、「9910 NH直轄・コーポレート管轄」→「NH経理財務部」　を選択・クリックします。

また、マニュアルとお問合せ先をメールでお送りしました。

・飲食費の申請方法につきましては、以下マニュアルをご確認ください。
 　202411_飲食費・ゴルフ関係費intra-mart申請_操作マニュアル.xlsx

・飲食費申請のお問合せ先はNH_経理財務部となります。
・intra-martの窓口 - 問い合わせ先一覧 (sharepoint.com)"
飲食費・ゴルフ関係費申請DBで一度行った申請を再利用する方法を教えてください。,飲食費申請は「コピー新規」ボタンで再利用申請が可能です。,質問,飲食費;ゴルフ関係費;申請DB;コピー新規;再利用;申請方法;操作方法;申請,,申請者,0.95,飲食費・ゴルフ関係費申請DBにて、申請を再利用する方法を教えてほしい,"一度行った申請を再利用する方法を教えてほしい。

フロー名：飲食費・ゴルフ関係費申請DB","【対応内容(一次)】
2025/01/06 17:11 板﨑対応

担当者へエスカレーション。
--------------------------------------

【対応内容(二次)】
飲食費申請は「コピー新規」ボタンで再利用申請が可能であることをお伝えしました。
メールで案件一覧の確認方法をお送りしています。"
飲食費・ゴルフ関係費申請DBでユーザーの所属を変更する方法を教えてください,飲食費・ゴルフ関係費申請DBのユーザー所属変更については、日本ハム㈱経理財務部へお問い合わせください。,質問,飲食費申請DB;ゴルフ関係費申請DB;ユーザー所属変更;所属修正;操作方法;経理財務部;問い合わせ;ノーツDB,,申請者,0.65,【メール対応】お問い合わせ）ノーツDB　『飲食費・ゴルフ関係費申請Db」,"11:51 メール着
ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー
表題の件、以下の図に有ります、ユーザーの所属を変更（修正）したい場面です。
お手続き方法をご存知でしょうか？
お忙しいところ恐縮ですが引き続きよろしくお願い致します。

飲食費・ゴルフ関係費　申請DB","【対応内容(一次)】
12:05 日本ハム㈱経理財務部 へ問い合わせて頂くよう返信

【対応内容(二次)】
nan"
